,,26,0S,,50.0W,,UA_ID:,999,99  SF,_ID:,66666,OS_ID:,,VER,SION: 2,1112,CCVR_S,ub TEMP_,Sub,,,,,,,
23,1,2,2,13,159.6,0.788,1.892,0.012,1531,1679,-276.2,0.3978,0.36,0.14,6.7,349,14,301.1,2,0,0,70,1010,3,NAD-SFC,NoSubs
23,1,2,2,14,154.5,0.787,1.916,0.012,1642,1676,-284.3,0.3978,0.36,0.14,6.7,357,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,15,139,0.784,1.884,0.012,1737,1668,-312.7,0.3978,0.36,0.14,6.7,360,14,303.1,2,0,0,62,1010,1,NAD-SFC,NoSubs
23,1,2,2,16,113.7,1.069,1.778,0.005,1783,2643,-968,0.6185,0.36,0.15,8.2,14,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,17,80.5,1.064,1.586,0.005,1787,2636,-1348,0.6185,0.36,0.16,8.2,8,14,301.1,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,18,41.9,1.058,1.277,0.005,1789,2614,-2546.4,0.6185,0.36,0.21,8.2,21,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,19,2,0.988,0.464,0.005,1789,2373,-8888,0.6185,0.36,0.39,7.7,2,14,302.1,2,0,0,70,1010,1,NAD-SFC,NoSubs
23,1,2,2,20,-64,0.97,-9,-9,-999,2298,1285.9,0.6185,0.36,1,7.7,25,14,301.1,2,0,0,74,1010,1,NAD-SFC,NoSubs
23,1,2,2,21,-64,0.904,-9,-9,-999,2076,1038.5,0.6185,0.36,1,7.2,14,14,301.1,2,0,0,74,1010,3,NAD-SFC,NoSubs
23,1,2,2,22,-47.9,0.472,-9,-9,-999,1031,197.8,0.6185,0.36,1,4.1,15,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,23,-64,0.726,-9,-9,-999,1482,538.8,0.3978,0.36,1,6.7,357,14,299.1,2,0,0,84,1010,3,NAD-SFC,NoSubs
23,1,2,2,24,-64,0.786,-9,-9,-999,1669,683.8,0.3978,0.36,1,7.2,358,14,299.1,2,0,0,84,1010,6,NAD-SFC,NoSubs
23,1,3,3,1,-63.3,0.726,-9,-9,-999,1494,545.3,0.3978,0.36,1,6.7,360,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,2,-58.2,0.668,-9,-9,-999,1318,461.1,0.3978,0.36,1,6.2,356,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,3,-53.1,0.609,-9,-9,-999,1147,383.3,0.3978,0.36,1,5.7,354,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,4,-53.1,0.609,-9,-9,-999,1141,383.3,0.3978,0.36,1,5.7,340,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,5,-53.1,0.609,-9,-9,-999,1141,383.3,0.3978,0.36,1,5.7,337,14,299.1,2,0,0,89,1010,6,NAD-SFC,NoSubs
23,1,3,3,6,-47.7,0.47,-9,-9,-999,791,195.6,0.3978,0.36,1,4.6,339,14,299.1,2,0,0,89,1010,3,NAD-SFC,NoSubs
23,1,3,3,7,8.2,0.467,0.505,0.007,565,765,-1117.6,0.3978,0.36,0.34,4.1,336,14,299.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,8,48.9,0.488,0.951,0.007,635,817,-213.6,0.3978,0.36,0.2,4.1,319,14,299.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
23,1,3,3,9,86.8,0.399,1.213,0.007,741,612,-66.1,0.3978,0.36,0.16,3.1,318,14,299.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,10,118.2,0.516,1.395,0.008,829,888,-104.5,0.6185,0.36,0.15,3.6,4,14,299.1,2,0,0,89,1010,1,NAD-SFC,NoSubs
23,1,3,3,11,141.8,0.242,1.537,0.009,924,371,-9.1,0.3504,0.36,0.14,1.5,302,14,300.1,2,0,0,84,1010,1,NAD-SFC,NoSubs
